#GTO.PA;AXL.PA
CNV.UN;CNV-UN
COB.A;COB-A
COI.UN;COI-UN
COS.UN;COS-UN
COU.UN;COU-UN
COZ.UN;COZ-UN
CPD.A;CPD-A
CPF.UN;CPF-UN
CPG.UN;CPG-UN
CPU.UN;CPU-UN
CRQ.A;CRQ-A
CRR.UN;CRR-UN
CRS.DB;CRS-DB
CRS.DB.A;CRS-DBA
CRS.UN;CRS-UN
CRT.UN;CRT-UN
CRW.UN;CRW-UN
CSD.DB.U;CSD-DBU
CSH.DB;CSH-DB
CSH.UN;CSH-UN
CSR.UN;CSR-UN
CSS.UN;CSS-UN
CTC.A;CTC-A
CTD.UN;CTD-UN
CTU.A;CTU-A
CU.PR.A;CU-PA
CU.PR.B;CU-PB
CU.PR.D;CU-PD
CU.PR.T;CU-PT
CU.PR.V;CU-PV
CU.X;CU-X
CUF.DB;CUF-DB
CUF.UN;CUF-UN
CUP.U;CUP-U
CUS.UN;CUS-UN
CVI.A;CVI-A
CVP.UN;CVP-UN
CWA.UN;CWA-UN
CWI.UN;CWI-UN
CWL.A;CWL-A
CWM.UN;CWM-UN
CWT.DB;CWT-DB
CWT.UN;CWT-UN
CWX.UN;CWX-UN
CXA.B;CXA-B
CYC.PR.A;CYC-PA
D.DB;D-DB
D.DB.A;D-DBA
D.UN;D-UN
DA.A;DA-A
DAY.DB;DAY-DB
DAY.UN;DAY-UN
DC.A;DC-A
DC.DB;DC-DB
DC.PR.A;DC-PA
DCD.UN;DCD-UN
DCI.UN;DCI-UN
DF.PR.A;DF-PA
DFN.PR.A;DFN-PA
DG.UN;DG-UN
DGD.UN;DGD-UN
DGI.DB;DGI-DB
DGI.UN;DGI-UN
DGT.UN;DGT-UN
DHF.UN;DHF-UN
DIF.UN;DIF-UN
DII.A;DII-A
DII.B;DII-B
DKI.UN;DKI-UN
DM.U;DM-U
DML.WT;DML-WT
DML.WT.A;DML-WTA
DMN.PR.A;DMN-PA
DOM.UN;DOM-UN
DPI.UN;DPI-UN
DPS.UN;DPS-UN
DR.UN;DR-UN
DST.UN;DST-UN
DTC.PR.A;DTC-PA
